Longitude, Latitude co-ordinates defining the Indian sector of the Pacific sector of the  Arctic Ocean drainage divide. 
Used to release back trajectories. 
 
220  points defined in this file. 

 92.18000  32.71000
 91.59837  33.15791
 91.01675  33.60582
 90.43512  34.05373
 90.71352  34.63221
 90.99193  35.21068
 91.27033  35.78915
 92.03496  35.66699
 92.79958  35.54483
 93.56421  35.42267
 94.32883  35.30051
 95.09346  35.17835
 95.85808  35.05619
 96.62556  34.99019
 97.39304  34.92419
 98.16052  34.85820
 98.92800  34.79220
 99.44980  35.20029
 99.97160  35.60839
100.49339  36.01648
101.01519  36.42458
100.80984  37.06204
100.60448  37.69951
101.24440  37.54514
101.88432  37.39078
102.52425  37.23641
103.16417  37.08205
103.81510  37.40353
104.46603  37.72501
105.11696  38.04649
105.76789  38.36797
105.94000  38.97575
106.11210  39.58352
106.28421  40.19130
106.45631  40.79908
106.62842  41.40686
107.43790  41.37501
108.24737  41.34316
109.05685  41.31132
109.86633  41.27947
110.67581  41.24762
111.48529  41.21578
112.29477  41.18393
113.10425  41.15208
113.91373  41.12024
114.72321  41.08839
115.26295  41.62517
115.80268  42.16196
116.34242  42.69874
116.88216  43.23552
117.42189  43.77231
117.96163  44.30909
118.50137  44.84587
119.04110  45.38266
119.58084  45.91944
120.12058  46.45622
119.24941  46.72650
118.37823  46.99678
117.50706  47.26706
116.63589  47.53733
115.76472  47.80761
114.89355  48.07789
114.02042  47.83100
113.14729  47.58412
112.27417  47.33723
111.40104  47.09034
110.52791  46.84346
109.65479  46.59657
108.78166  46.34969
108.30619  46.80236
107.83073  47.25503
107.35527  47.70771
108.07324  48.19117
108.79121  48.67464
109.50919  49.15810
110.22716  49.64157
110.94513  50.12503
111.66311  50.60850
112.38108  51.09196
113.09905  51.57543
113.81703  52.05889
114.53500  52.54236
115.25298  53.02582
115.97095  53.50929
116.68892  53.99275
117.67829  54.16520
118.66765  54.33764
119.65702  54.51009
120.64638  54.68253
121.63574  54.85498
122.62511  55.02742
123.61447  55.19987
124.60384  55.37231
125.79023  55.39877
126.97663  55.42522
128.16303  55.45168
129.34943  55.47813
130.53583  55.50459
131.72222  55.53104
132.90862  55.55750
134.09502  55.58395
135.28142  55.61040
136.10337  56.05706
136.92532  56.50371
137.74727  56.95037
138.56922  57.39702
138.87077  57.99177
139.17233  58.58652
139.47388  59.18127
139.77543  59.77602
139.99409  60.32056
140.21275  60.86509
140.43141  61.40963
140.65007  61.95416
140.86872  62.49869
142.13268  62.19904
143.39663  61.89938
144.66059  61.59972
145.92454  61.30006
147.18850  61.00040
148.45245  60.70074
149.71641  60.40108
150.89114  60.42762
152.06587  60.45415
153.24060  60.48069
153.95807  60.98247
154.67553  61.48425
155.39300  61.98604
156.11046  62.48782
156.82793  62.98960
158.09389  63.06244
159.35985  63.13529
160.62581  63.20813
161.89177  63.28097
163.15773  63.35381
164.21947  63.86920
165.28120  64.38458
166.34294  64.89996
167.40468  65.41534
168.46642  65.93072
169.52815  66.44610
170.58989  66.96148
171.65163  67.47686
172.71336  67.99224
173.77510  68.50762
175.23071  68.14648
176.68632  67.78534
178.14194  67.42419
179.59755  67.06305
-178.94684  66.70191
-177.49123  66.34076
-176.03562  65.97962
-174.58000  65.61848
-173.38210  66.02032
-172.18419  66.42216
-171.13280  66.20477
-170.08140  65.98739
-169.03000  65.77000
-167.63121  65.72724
-166.23241  65.68447
-164.83362  65.64171
-163.43482  65.59895
-162.03603  65.55618
-160.63723  65.51342
-159.23844  65.47066
-157.89822  65.83185
-156.55800  66.19305
-155.21778  66.55424
-153.87756  66.91544
-152.53733  67.27663
-151.19711  67.63782
-149.85689  67.99902
-148.22677  68.04892
-146.59664  68.09882
-144.96651  68.14872
-143.33639  68.19863
-141.70626  68.24853
-140.07613  68.29843
-138.44601  68.34833
-136.81588  68.39823
-136.58301  67.83268
-136.35013  67.26712
-136.11726  66.70157
-135.88438  66.13602
-137.03212  65.88651
-138.17986  65.63700
-139.32761  65.38749
-140.47535  65.13798
-139.09711  65.01441
-137.71887  64.89085
-136.34063  64.76728
-134.96238  64.64371
-133.58414  64.52015
-132.20590  64.39658
-130.82766  64.27301
-130.41181  63.72409
-129.99596  63.17517
-129.58012  62.62625
-129.16427  62.07733
-130.16230  61.70030
-131.16034  61.32326
-132.15838  60.94623
-131.34124  60.45088
-130.52411  59.95553
-129.70698  59.46019
-128.88985  58.96484
-128.07272  58.46950
-127.25558  57.97415
-126.43845  57.47880
-125.62132  56.98346
-124.80419  56.48811
-123.98706  55.99277
-123.16992  55.49742
-122.35279  55.00208
-121.53566  54.50673
-120.71853  54.01138
-119.90140  53.51604
-119.08426  53.02069
-118.26713  52.52535
-117.45000  52.03000
