Longitude, Latitude co-ordinates defining the East Asian and Australian continental divide. 
Used to release back trajectories. 
 
189  points defined in this file. 
 
 92.18000  32.71000
 92.83012  32.64283
 93.48024  32.57566
 94.13036  32.50849
 94.13036  32.50849
 94.73559  32.11621
 95.34081  31.72394
 95.94604  31.33166
 96.55126  30.93939
 97.15649  30.54711
 97.76171  30.15483
 97.76171  30.15483
 97.99035  29.57651
 98.21899  28.99818
 98.44764  28.41985
 98.67628  27.84153
 98.90492  27.26320
 98.90492  27.26320
 99.05062  26.68039
 99.19632  26.09758
 99.34202  25.51477
 99.48773  24.93196
 99.63343  24.34915
 99.77913  23.76634
 99.77913  23.76634
 99.65424  23.19954
 99.52936  22.63275
 99.40447  22.06595
 99.27958  21.49915
 99.15469  20.93235
 99.02980  20.36555
 98.90492  19.79875
 98.90492  19.79875
 98.71999  19.17672
 98.53506  18.55468
 98.35013  17.93264
 98.16520  17.31061
 98.16520  17.31061
 98.21899  16.74573
 98.27279  16.18085
 98.32659  15.61597
 98.38039  15.05110
 98.43419  14.48622
 98.43419  14.48622
 98.57989  13.93703
 98.72559  13.38785
 98.87129  12.83866
 99.01700  12.28948
 99.16270  11.74029
 99.30840  11.19110
 99.30840  11.19110
 99.16046  10.65313
 99.01251  10.11515
 98.86457   9.57717
 98.71662   9.03919
 98.56868   8.50121
 98.56868   8.50121
 99.02020   8.11694
 99.47172   7.73267
 99.92323   7.34840
100.37475   6.96413
100.82627   6.57986
101.27778   6.19559
101.72930   5.81132
101.72930   5.81132
101.78310   5.21955
101.83690   4.62777
101.89070   4.03599
101.94449   3.44422
101.99829   2.85244
101.99829   2.85244
102.40177   2.53302
102.80526   2.21359
103.20874   1.89417
103.61223   1.57474
103.61223   1.57474
103.02942   1.29455
102.44661   1.01435
101.86380   0.73415
101.28099   0.45396
100.69818   0.17376
100.11537  -0.10644
100.11537  -0.10644
100.49868  -0.59734
100.88199  -1.08825
101.26530  -1.57915
101.64861  -2.07006
102.03191  -2.56096
102.41522  -3.05187
102.79853  -3.54277
103.18184  -4.03368
103.56515  -4.52458
103.94846  -5.01549
103.94846  -5.01549
104.49989  -5.27775
105.05132  -5.54002
105.60275  -5.80228
106.15417  -6.06455
106.70560  -6.32681
107.25703  -6.58908
107.80846  -6.85134
108.35988  -7.11360
108.91131  -7.37587
109.46274  -7.63813
109.46274  -7.63813
110.05956  -7.70538
110.65638  -7.77263
111.25320  -7.83987
111.85002  -7.90712
112.44684  -7.97437
113.04366  -8.04162
113.64048  -8.10886
114.23729  -8.17611
114.23729  -8.17611
114.89716  -8.18452
115.55702  -8.19292
116.21689  -8.20133
116.87675  -8.20973
117.53661  -8.21814
118.19648  -8.22655
118.85634  -8.23495
119.51621  -8.24336
120.17607  -8.25176
120.83593  -8.26017
121.49580  -8.26858
122.15566  -8.27698
122.81552  -8.28539
123.47539  -8.29379
124.13525  -8.30220
124.79512  -8.31061
124.79512  -8.31061
125.45798  -8.30100
126.12085  -8.29139
126.78371  -8.28178
127.44658  -8.27218
128.10945  -8.26257
128.77231  -8.25296
129.43518  -8.24336
130.09804  -8.23375
130.76091  -8.22414
131.42378  -8.21454
132.08664  -8.20493
132.74951  -8.19532
133.41237  -8.18572
134.07524  -8.17611
134.73811  -8.16650
135.40097  -8.15690
136.06384  -8.14729
136.72670  -8.13768
137.38957  -8.12808
138.05244  -8.11847
138.71530  -8.10886
138.71530  -8.10886
139.16922  -7.77263
139.62314  -7.43639
140.07706  -7.10015
140.53098  -6.76392
140.53098  -6.76392
140.95127  -7.23465
141.37157  -7.70538
141.79186  -8.17611
142.21216  -8.64684
142.21216  -8.64684
142.26260  -9.25207
142.31303  -9.85729
142.36347 -10.46252
142.41390 -11.06774
142.41390 -11.06774
142.53879 -11.65376
142.66368 -12.23977
142.78856 -12.82578
142.91345 -13.41179
143.03834 -13.99780
143.16323 -14.58381
143.28812 -15.16983
143.28812 -15.16983
143.79247 -15.57331
144.29683 -15.97679
144.80118 -16.38028
145.30553 -16.78376
145.30553 -16.78376
145.07689 -17.36209
144.84825 -17.94041
144.61961 -18.51874
144.39097 -19.09707
144.16233 -19.67539
144.16233 -19.67539
144.56617 -20.07770
144.97000 -20.48000
