Longitude, Latitude co-ordinates of interpolated points discretely defining the Levang & Schmitt (2015) East Asian and Australian continental divide. 
Used to release back trajectories. 

xx  points defined in this file.

 92.18000  32.71000
 92.83012  32.64283
 93.48024  32.57566
 94.13036  32.50849
 94.13036  32.50849
 94.73559  32.11621
 95.34081  31.72394
 95.94604  31.33166
 96.55126  30.93939
 97.15649  30.54711
 97.76171  30.15483
 97.76171  30.15483
 97.99035  29.57651
 98.21899  28.99818
 98.44764  28.41985
 98.67628  27.84153
 98.90492  27.26320
 98.90492  27.26320
 99.05062  26.68039
 99.19632  26.09758
 99.34202  25.51477
 99.48773  24.93196
 99.63343  24.34915
 99.77913  23.76634
 99.77913  23.76634
 99.65424  23.19954
 99.52936  22.63275
 99.40447  22.06595
 99.27958  21.49915
 99.15469  20.93235
 99.02980  20.36555
 98.90492  19.79875
 98.90492  19.79875
 98.71999  19.17672
 98.53506  18.55468
 98.35013  17.93264
 98.16520  17.31061
 98.16520  17.31061
 98.21899  16.74573
 98.27279  16.18085
 98.32659  15.61597
 98.38039  15.05110
 98.43419  14.48622
 98.43419  14.48622
 98.57989  13.93703
 98.72559  13.38785
 98.87129  12.83866
 99.01700  12.28948
 99.16270  11.74029
 99.30840  11.19110
 99.30840  11.19110
 99.16046  10.65313
 99.01251  10.11515
 98.86457   9.57717
 98.71662   9.03919
 98.56868   8.50121
 98.56868   8.50121
 99.02020   8.11694
 99.47172   7.73267
 99.92323   7.34840
100.37475   6.96413
100.82627   6.57986
101.27778   6.19559
101.72930   5.81132
101.72930   5.81132
101.78310   5.21955
101.83690   4.62777
101.89070   4.03599
101.94449   3.44422
101.99829   2.85244
101.99829   2.85244
101.72569   2.46112
101.45310   2.06979
101.18050   1.67847
101.18050   1.67847
101.18050   1.05501
101.18050   0.43155
101.18050  -0.19192
101.18050  -0.81538
101.18050  -1.43884
101.18050  -2.06230
101.18050  -2.06230
101.83302  -2.06230
102.48555  -2.06230
103.13807  -2.06230
103.79059  -2.06230
104.44311  -2.06230
105.09564  -2.06230
105.74816  -2.06230
106.40068  -2.06230
107.05320  -2.06230
107.70573  -2.06230
108.35825  -2.06230
109.01077  -2.06230
109.66329  -2.06230
110.31582  -2.06230
110.96834  -2.06230
111.62086  -2.06230
112.27338  -2.06230
112.92591  -2.06230
113.57843  -2.06230
114.23095  -2.06230
114.88347  -2.06230
115.53599  -2.06230
116.18852  -2.06230
116.84104  -2.06230
117.49356  -2.06230
118.14608  -2.06230
118.79861  -2.06230
119.45113  -2.06230
119.45113  -2.06230
119.68112  -2.55925
119.91111  -3.05620
120.14110  -3.55315
120.14110  -3.55315
120.81259  -3.55315
121.48409  -3.55315
122.15558  -3.55315
122.82708  -3.55315
123.49857  -3.55315
124.17007  -3.55315
124.84156  -3.55315
125.51306  -3.55315
126.18455  -3.55315
126.85605  -3.55315
127.52754  -3.55315
128.19904  -3.55315
128.87053  -3.55315
129.54203  -3.55315
130.21352  -3.55315
130.88502  -3.55315
131.55651  -3.55315
132.22801  -3.55315
132.89950  -3.55315
133.57100  -3.55315
134.24249  -3.55315
134.24249  -3.55315
134.80413  -3.67364
135.36577  -3.79412
135.92741  -3.91461
136.48905  -4.03510
137.05068  -4.15559
137.61232  -4.27607
137.61232  -4.27607
138.09227  -4.11609
138.57221  -3.95611
139.05215  -3.79613
139.05215  -3.79613
139.57882  -4.08181
140.10549  -4.36749
140.63215  -4.65317
141.15882  -4.93885
141.68549  -5.22453
142.21216  -5.51021
142.21216  -5.51021
142.21216  -6.13754
142.21216  -6.76486
142.21216  -7.39219
142.21216  -8.01951
142.21216  -8.64684
142.21216  -8.64684
142.26260  -9.25207
142.31303  -9.85729
142.36347 -10.46252
142.41390 -11.06774
142.41390 -11.06774
142.53879 -11.65376
142.66368 -12.23977
142.78856 -12.82578
142.91345 -13.41179
143.03834 -13.99780
143.16323 -14.58381
143.28812 -15.16983
143.28812 -15.16983
143.79247 -15.57331
144.29683 -15.97679
144.80118 -16.38028
145.30553 -16.78376
145.30553 -16.78376
145.07689 -17.36209
144.84825 -17.94041
144.61961 -18.51874
144.39097 -19.09707
144.16233 -19.67539
144.16233 -19.67539
144.56617 -20.07770
144.97000 -20.48000
